run_number,nTrackPass,nAssociatedCluster,efficiency,efficiency_error,efficiency_lerr,efficiency_uerr,residuals_mean,residuals_errmean,residuals_sigma,residuals_errsigma,clusterSize_mean,clusterCharge_mean,seedCharge_mean,residuals_mean_mimosa0,residuals_errmean_mimosa0,residuals_sigma_mimosa0,residuals_errsigma_mimosa0,residuals_mean_mimosa1,residuals_errmean_mimosa1,residuals_sigma_mimosa1,residuals_errsigma_mimosa1,residuals_mean_mimosa2,residuals_errmean_mimosa2,residuals_sigma_mimosa2,residuals_errsigma_mimosa2,residuals_mean_mimosa3,residuals_errmean_mimosa3,residuals_sigma_mimosa3,residuals_errsigma_mimosa3,residuals_mean_mimosa4,residuals_errmean_mimosa4,residuals_sigma_mimosa4,residuals_errsigma_mimosa4,residuals_mean_mimosa5,residuals_errmean_mimosa5,residuals_sigma_mimosa5,residuals_errsigma_mimosa5
1679,5719,5639,0.9860115404791048,0.0016427986524619742,0.0017326408902649248,0.0015529564146590236,-0.4141943433376442,0.1846921003406236,12.217853999396983,0.14861505361034588,1.2847066673021017,9.005264001594364,7.521929007464918,0.00016784726917444672,3.8080487286482684e-05,0.0028841512964684754,4.747705376896593e-05,6.23170928572289e-06,4.36939096188378e-05,0.003922117909924375,4.54491903610116e-05,-0.00034613281282364354,4.5463691396239775e-05,0.003998955053336161,4.7454427924976104e-05,-0.00031251170935457407,4.0904178531209456e-05,0.003752905803564759,3.994228653612529e-05,0.0006895763805299509,4.645069085090332e-05,0.004051456288021014,4.849969825726746e-05,-2.5880090051208436e-06,3.506718102493304e-05,0.0029244091124199503,4.025414511849544e-05
1680,29223,29180,0.9985285562741676,0.00024190718483052542,0.00026028669952893324,0.0002235276701321176,-2.074982321167572,0.07803648789893058,12.350210269017877,0.0636223277323138,1.2996469413406042,9.530409246098802,7.933516380575771,-7.772442300101554e-05,1.5078435443303225e-05,0.002875090736139696,1.886667311778019e-05,0.00043553122005400883,1.6413083784811534e-05,0.003960272202823554,1.485027788157003e-05,-0.0011332123658420973,1.8013407556967726e-05,0.0039739142150971955,1.8605392731612953e-05,0.001282481218683502,1.6263767095981723e-05,0.003687432681161992,1.626103350169778e-05,0.0001638168137050613,1.8237177951068305e-05,0.004009640075530578,1.8933502144176557e-05,-0.00029785604407340735,1.4028322099791177e-05,0.0029138280579389456,1.6013670082989256e-05
1681,57344,57252,0.9983956473214286,0.0001761063780961747,0.00018525974612837448,0.0001669530100639749,-0.4459663195122987,0.05542274737711158,12.269054087812798,0.04610847622467951,1.299425850495317,9.518485171596794,7.9306320022535095,0.00013979522852205898,1.1884822592954114e-05,0.002875946892272885,1.4867491562069212e-05,-0.0002973706006096183,1.3916635854131053e-05,0.003934910307147797,1.4189762990995101e-05,6.619022728621482e-05,1.4149548203009955e-05,0.003975669784275137,1.4643914705958494e-05,0.0002451426154411649,1.2614361629633858e-05,0.003697092142577435,1.2184684519848075e-05,-5.970180513642646e-05,1.4384518958192628e-05,0.004021661273820893,1.498441442683747e-05,-0.00016108860248719643,1.2158120991517211e-05,0.0029049177787625483,1.5367993370494766e-05
1682,53977,36017,0.6672656872371565,0.0020386683090137803,0.002041783922620999,0.0020355526954065617,0.8010051273520508,0.06631897350588567,11.66270756285448,0.05483361571947576,1.0848302003410872,7.575369225075638,7.097108770216289,6.22246759942601e-05,1.2281767120996208e-05,0.002859284633047967,1.520000712610536e-05,-0.0003051693717462501,1.4494632000108465e-05,0.003940504044425184,1.4778005978659421e-05,0.0001738784686242796,1.4746024402748923e-05,0.003993923513894685,1.5353551025846005e-05,0.0003775108097279795,1.3179545353360619e-05,0.0037131758281536403,1.2832527856772454e-05,-0.0003326837015581192,1.4757589830951179e-05,0.003986541653699931,1.526225172331303e-05,9.832223684775286e-05,1.1163339529496074e-05,0.0028787411021175447,1.2500717574941557e-05
1684,52593,37348,0.7101325271423954,0.0019891211004415266,0.0019931391346184046,0.0019851030662646485,-0.41789088151931647,0.06734014355029776,11.961501554471356,0.05686551128340778,1.0926299051276742,7.463444886246012,6.9609329825888935,-0.00014854405393432166,1.235233790925871e-05,0.0028618426424714375,1.539382890060521e-05,8.530002521506875e-05,1.462130987602592e-05,0.003951115089306263,1.5064845115365564e-05,0.0001991584937798258,1.4762382747038963e-05,0.003969851857907592,1.5291877160171496e-05,-0.00038988934066415133,1.3411865128784787e-05,0.0036922154386235372,1.3456891185902975e-05,0.0004884792995689117,1.4361919674523951e-05,0.003997430139693374,1.392619789860217e-05,-0.0001599073837321458,1.2360240605239464e-05,0.0028536502777150707,1.5284392698047974e-05
1685,234039,181061,0.7736360179286358,0.0008677137211757224,0.000868886798474966,0.0008665406438764789,0.05129056692261297,0.030734487920110368,12.211624526914358,0.0250730224694804,1.1097205526821867,7.437952027256099,6.864679048585613,-0.0001795913977564267,5.815355817334966e-06,0.002865872366495452,7.228086037854053e-06,0.0002106867171277327,6.876525524880286e-06,0.00395696671896989,7.100186597298061e-06,-8.226761779788928e-05,6.905591096767642e-06,0.003973581123844291,7.146013701002439e-06,8.137157123057747e-05,6.153743313189551e-06,0.0037037657180095758,5.991383287425132e-06,-7.440524642914565e-05,6.9932412548464775e-06,0.004001814783519769,7.2417617573649305e-06,0.0002637326415877434,5.937252021035748e-06,0.0028837125523045997,7.348334748023149e-06
1686,33518,29223,0.8718598961751894,0.0018417730810358357,0.0018529674413846342,0.0018305787206870372,-0.739230433596708,0.07701338543075471,12.326133462189128,0.06082763848216466,1.1508856871525694,7.550764098875905,6.818062613989009,-7.735260955160181e-05,1.464864054476041e-05,0.0028651428391865165,1.8357825101988727e-05,-0.00011503037967086707,1.722497478012833e-05,0.0039260249062796,1.7631167840514322e-05,0.00013644943891069535,1.7522577900102337e-05,0.003957042157822946,1.7941218003969203e-05,0.00033563997758751185,1.5593011812053405e-05,0.0036840947097459874,1.4992775149932653e-05,-0.0005231570336281053,1.730085458764709e-05,0.004032466034210924,1.699670227726859e-05,0.000560297095374952,1.1892542377810998e-05,0.002967966608811941,1.0626410941823338e-05
1687,40972,39648,0.9676852484623646,0.0008864256100512002,0.0008980096210549071,0.0008748415990474934,-0.9131035639667535,0.06665486460984771,12.417731244358556,0.05319998988614749,1.245190884054876,8.26790929782263,7.118907083696202,-8.742456358594261e-05,1.398372365345041e-05,0.002861323556956483,1.7421986951059935e-05,0.0001294255150814707,1.6610260914231784e-05,0.003946458334012875,1.7116403699830472e-05,-1.5364456747085026e-05,1.6746147658657842e-05,0.003969271039787916,1.7293339415345695e-05,-2.8761506460737177e-05,1.5102386103025398e-05,0.003715460875183635,1.4734303058708959e-05,3.55588797684257e-05,1.6763573565550525e-05,0.003969208496830761,1.7294577415620798e-05,-3.787693624647163e-05,1.2950855967344872e-05,0.0028840778881308337,1.4446071902280344e-05
1688,44394,44252,0.9968013695544443,0.00027958056898047534,0.00029125220182091294,0.00026790893614003775,-0.15435908594168407,0.06176828317470462,12.130339272097924,0.04970446593152911,1.330521153004866,9.337687916850586,7.677510712104924,-0.00031853002377308016,1.1289647994513313e-05,0.002908807378546375,1.1588727416211452e-05,0.0005003566000660691,1.4253624865460858e-05,0.0039566465027455755,1.2853133845547012e-05,-1.5552165901011424e-05,1.578570815163895e-05,0.003991317845378416,1.6478477704011114e-05,-0.0003394275950425237,1.4111847174404166e-05,0.0037161732681349445,1.3687180866202948e-05,-0.00011950703776290544,1.5739652934150438e-05,0.003984045824486528,1.6230040416041498e-05,0.0004420852463618811,1.1679068758666547e-05,0.0029376462710272453,1.2534811892011004e-05
1689,34767,34714,0.9984755659102023,0.00022407569978871722,0.0002394138105299426,0.00020873758904749184,-0.5876778424241513,0.07065929530750224,12.244166906909536,0.056870378578477876,1.3109569786393114,9.60034219779744,7.953054884630015,0.00026297135470758375,1.4099235241706799e-05,0.002840136167616243,1.7307752247229394e-05,-0.0007405418682915974,1.5472008965371906e-05,0.0039600479237466,1.3876824915499205e-05,0.00040253910659767854,1.7173141368748233e-05,0.0039866172613556815,1.7721153297168527e-05,9.002412499145469e-05,1.5104548486836981e-05,0.003703695913555464,1.4696664519223959e-05,-0.00020175194020076952,1.731372252311473e-05,0.0040093301150905605,1.790057263908974e-05,0.0004934350016770727,1.1581645120528981e-05,0.002978378693317515,1.0367270123710025e-05
